legacyId,legacyName,legacyDescription,legacyTotalQuestions,legacyStatus,legacyCreatedAt,topLevelTagCount,topLevelTagNames,suggestedExam,suggestedExamCycle,suggestedSubject,suggestedTopic,mappingStatus,adminDecision,notes
1,Demo Question Bank 1,(none — questionbanks has no description column in the legacy schema),13,1,2021-07-05 11:15:34,2,Demo QTag 01 | Demo,,,,Demo QTag 01 | Demo,LIKELY_NOT_REAL_CONTENT,,"Name pattern suggests demo/test data, not real exam content — confirm before mapping."
2,Demo Question Bank 2,(none — questionbanks has no description column in the legacy schema),1,0,2021-07-05 11:16:19,1,Demo0 QT02,,,,Demo0 QT02,LIKELY_NOT_REAL_CONTENT,,"Name pattern suggests demo/test data, not real exam content — confirm before mapping."
3,BPSC 67th PT Course,(none — questionbanks has no description column in the legacy schema),48,0,2021-07-27 23:08:18,1,BPSC 67th PT Course,BPSC,67th,,BPSC 67th PT Course,PENDING_ADMIN_REVIEW,,
4,"BPSC 67th , Economy",(none — questionbanks has no description column in the legacy schema),248,0,2021-08-08 17:28:37,8,BPSC 67th test | BPSC economy test | Economy (ayush) 1-6-1 | Economy (ayush) 1-6-2 | Economy (ayush) 1-6-3 | Economy (sapna) 1-5-1 | Economy (sapna) 1-5-2 | Economy (sapna) 1-5-3,BPSC,67th,Economy,BPSC 67th test | BPSC economy test | Economy (ayush) 1-6-1 | Economy (ayush) 1-6-2 | Economy (ayush) 1-6-3,PENDING_ADMIN_REVIEW,,
5,"BPSC , Geography",(none — questionbanks has no description column in the legacy schema),239,0,2021-08-08 17:29:03,8,"BPSC 67th, volume 1 | Geography 1-7-1 | Geography(by sapna) 1-7 - 2 | Geography(by sapna) 1-7 - 3 | Geography(by tannu) 1-8-1 | Geography (By Tannu) 1-8-2 | Geography ayush (1-7-2) | Geography ayush (1-7-3)",BPSC,,Geography,"BPSC 67th, volume 1 | Geography 1-7-1 | Geography(by sapna) 1-7 - 2 | Geography(by sapna) 1-7 - 3 | Geography(by tannu) 1-8-1",PENDING_ADMIN_REVIEW,,
6,"BPSC 67th, History",(none — questionbanks has no description column in the legacy schema),231,0,2021-08-08 17:29:52,7,History (by sapna) | History 1-3-2 | History 1-3-2 (by sapna) | History 1-3-3(by sapna) | History (by tannu)1-4-1 | History (by tannu)1-4-2 | History(By Tannu) 1-4-3,BPSC,67th,History,History (by sapna) | History 1-3-2 | History 1-3-2 (by sapna) | History 1-3-3(by sapna) | History (by tannu)1-4-1,PENDING_ADMIN_REVIEW,,
7,"BPSC, Politics",(none — questionbanks has no description column in the legacy schema),251,0,2021-08-09 14:14:13,5,Politics | Politics -2 | Politics-1-2-2 | Polity(ayush) 1-1-1 | Politics-1-2-3,BPSC,,Politics,Politics | Politics -2 | Politics-1-2-2 | Polity(ayush) 1-1-1 | Politics-1-2-3,PENDING_ADMIN_REVIEW,,
8,Current - 2021,(none — questionbanks has no description column in the legacy schema),1183,0,2021-08-13 23:53:43,25,Current -1(santosh sir) | Current - 2(santosh sir) | Current- 3 (Santosh Sir)( | Current-4 (Santosh Sir) | Currentr-5 (Santosh Sir) | Current-6 (Santosh Sir) | Current-7(Santosh Sir) | Current-8 (Santosh Sir),,2021,Current,Current -1(santosh sir) | Current - 2(santosh sir) | Current- 3 (Santosh Sir)( | Current-4 (Santosh Sir) | Currentr-5 (Santosh Sir),PENDING_ADMIN_REVIEW,,
9,Bihar,(none — questionbanks has no description column in the legacy schema),139,0,2021-08-14 06:36:32,5,Bihar  especial by sapana(1-9-1) | Bihar  especial by sapana(1-9-2) | Bihar  especial by sapana(1-9-3) | Bihar  especial by sapana(1-9-4) | Bihar ESpecia(Tanu),,,,Bihar  especial by sapana(1-9-1) | Bihar  especial by sapana(1-9-2) | Bihar  especial by sapana(1-9-3) | Bihar  especial by sapana(1-9-4) | Bihar ESpecia(Tanu),PENDING_ADMIN_REVIEW,,
10,General science,(none — questionbanks has no description column in the legacy schema),250,0,2021-08-15 11:41:45,12,Genera science (1-1-1)ayush | Genera science (1-1-1)ayush | Genera science (1-1-2)ayush | Genera science (1-1-3)ayush | Genera science (1-1-4) tannu | Volime 2 (By Tannu)-1 | Biology Previous Year(Sapna) | Biology previous year -part2(sapna),,,Science,Genera science (1-1-1)ayush | Genera science (1-1-1)ayush | Genera science (1-1-2)ayush | Genera science (1-1-3)ayush | Genera science (1-1-4) tannu,PENDING_ADMIN_REVIEW,,
11,New Qb Test,(none — questionbanks has no description column in the legacy schema),0,0,2021-08-30 08:34:11,0,,,,,,LIKELY_NOT_REAL_CONTENT,,"Empty question bank (0 questions) — verify still needed before spending review time on it. Name pattern suggests demo/test data, not real exam content — confirm before mapping."
12,demo qb,(none — questionbanks has no description column in the legacy schema),0,0,2021-08-30 08:45:20,0,,,,,,LIKELY_NOT_REAL_CONTENT,,"Empty question bank (0 questions) — verify still needed before spending review time on it. Name pattern suggests demo/test data, not real exam content — confirm before mapping."
13,Bihar SI-1,(none — questionbanks has no description column in the legacy schema),686,0,2021-10-01 19:36:31,8,Test-1 (Sweety) | Test-2 (Sweety) | Test-2 (Sweety) | Test-3(Sweety) | Test-4(Sweety) | Test 5 by sapna(sweety) | Test 7 (sapna) | Test-6(Tannu-Sweety),Bihar SI,,,Test-1 (Sweety) | Test-2 (Sweety) | Test-2 (Sweety) | Test-3(Sweety) | Test-4(Sweety),PENDING_ADMIN_REVIEW,,
14,Bihar SI-7,(none — questionbanks has no description column in the legacy schema),0,0,2021-11-27 18:27:11,0,,Bihar SI,,,,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
15,"BPSC 67th, Volume 2",(none — questionbanks has no description column in the legacy schema),362,0,2022-01-02 16:44:57,7,History - 1 | Test 2 | Test 3 | Test-4 | Test-5 | Test-6 | Test-7,BPSC,67th,,History - 1 | Test 2 | Test 3 | Test-4 | Test-5,PENDING_ADMIN_REVIEW,,
16,Scholarship test,(none — questionbanks has no description column in the legacy schema),65,1,2022-01-26 11:05:44,2,Republic test | 26 June 2022,,,,Republic test | 26 June 2022,PENDING_ADMIN_REVIEW,,
17,BPSC 68th -1,(none — questionbanks has no description column in the legacy schema),364,0,2022-05-12 16:14:30,16,Test -1(Polity-A) | Test-1(History ) | Test-1 (Bihar Especial) | BPSC 68th 1 -(D) Science | BPSC 68th -4 | BPSC 68th Daily Test -1(History) | BPSC 68th Daily Test -2(History) | BPSC 68th Daily Test -3(History),BPSC,68th,,Test -1(Polity-A) | Test-1(History ) | Test-1 (Bihar Especial) | BPSC 68th 1 -(D) Science | BPSC 68th -4,PENDING_ADMIN_REVIEW,,
18,MP-GK,(none — questionbanks has no description column in the legacy schema),200,0,2022-07-13 23:06:56,2,MP-GK-1 | MP-GK-2,MP-GK,,GK,MP-GK-1 | MP-GK-2,PENDING_ADMIN_REVIEW,,
19,Yashna question bank,(none — questionbanks has no description column in the legacy schema),344,0,2022-07-17 22:30:12,16,Yashna current -1 | Yashna Cureent-2 | Yashna Current -2 | Yashna current 3 | Current-4 | Current-5 | Current-6 (February) | Current-7 (February 2),,,,Yashna current -1 | Yashna Cureent-2 | Yashna Current -2 | Yashna current 3 | Current-4,PENDING_ADMIN_REVIEW,,
20,Current 2022 Special Test,(none — questionbanks has no description column in the legacy schema),5,0,2022-07-23 11:12:40,1,Test -1,,2022,Current,Test -1,PENDING_ADMIN_REVIEW,,
21,Bihar GS,(none — questionbanks has no description column in the legacy schema),502,0,2022-08-01 23:10:38,20,Bihar GS-1(Jagriti) | Bihar GS -2(Jagriti) | Bihar GS-3 | Bihar GS-4 | Bihar GS-5 | Bihar GS-6 | Bihar GS-7 | Bihar GS-8,,,GS,Bihar GS-1(Jagriti) | Bihar GS -2(Jagriti) | Bihar GS-3 | Bihar GS-4 | Bihar GS-5,PENDING_ADMIN_REVIEW,,
22,Bihar Current,(none — questionbanks has no description column in the legacy schema),200,0,2022-08-02 18:50:23,8,Bihar Current-1 (Yashna) | Bihar Current-2 | Bihar Current-3 | Bihar Current-4 | Bihar Current-5 | Bihar Current-6 | Bihar Current-7 | Bihar Current-8,,,Current,Bihar Current-1 (Yashna) | Bihar Current-2 | Bihar Current-3 | Bihar Current-4 | Bihar Current-5,PENDING_ADMIN_REVIEW,,
23,Previous Year,(none — questionbanks has no description column in the legacy schema),2240,1,2022-08-10 00:54:05,94,BPSC ancient history | BPSC Previous Year-1(Modern history) | BPSC Previous Year -2(Science) | BPSC Previous Year -3(Science) | Ancient history- 1(Hindi) | Ancient History -2 (English) | Instant History -2 | Instant History-3,,,,BPSC ancient history | BPSC Previous Year-1(Modern history) | BPSC Previous Year -2(Science) | BPSC Previous Year -3(Science) | Ancient history- 1(Hindi),PENDING_ADMIN_REVIEW,,
24,68th Test Main,(none — questionbanks has no description column in the legacy schema),0,0,2022-08-13 00:27:37,0,,,68th,,,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
25,68th Test Main,(none — questionbanks has no description column in the legacy schema),0,0,2022-08-13 00:27:37,1,BPSC 68th 1 -(D) Science,,68th,,BPSC 68th 1 -(D) Science,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
26,BPSC Special Test,(none — questionbanks has no description column in the legacy schema),1072,0,2022-08-17 12:57:12,10,Test 1(67th ReExam) | Test 2 | Test-3 | Test-4 | Test-5 | Test -6 | Test-7 | Test-8,BPSC,,,Test 1(67th ReExam) | Test 2 | Test-3 | Test-4 | Test-5,PENDING_ADMIN_REVIEW,,
27,Weekly current test,(none — questionbanks has no description column in the legacy schema),1983,0,2022-09-11 17:43:27,28,1 to 9 sept 2022 | 1 to 7 Jan. 2022 | 1-7 jan.2023 | 8-14 jan 2023 | 16-23 January 2023 | 24-31 January 2023 | 1-7 Feb 2023 | 8-14 Feb 2023,,,Current,1 to 9 sept 2022 | 1 to 7 Jan. 2022 | 1-7 jan.2023 | 8-14 jan 2023 | 16-23 January 2023,PENDING_ADMIN_REVIEW,,
28,GS Question Bank -1,(none — questionbanks has no description column in the legacy schema),790,1,2022-09-17 14:43:31,33,Polity-1 | Science -1 | Ancient history -1 | GS  Daily Test -12(History) | GS Daily Test -11(History) | GS Daily Test -10 | GS Daily Test-9 (History) | GS Daily Test-8 (History),,,GS,Polity-1 | Science -1 | Ancient history -1 | GS  Daily Test -12(History) | GS Daily Test -11(History),PENDING_ADMIN_REVIEW,,
29,NCERT,(none — questionbanks has no description column in the legacy schema),84,0,2023-02-24 00:14:57,3,NCERT -1(ancient) | NCERT -2(Ancient) | NCERT-3 (Ancient),,,NCERT,NCERT -1(ancient) | NCERT -2(Ancient) | NCERT-3 (Ancient),PENDING_ADMIN_REVIEW,,
30,GS Daily Test-3,(none — questionbanks has no description column in the legacy schema),0,0,2023-03-08 21:54:41,0,,,,GS,,PENDING_ADMIN_REVIEW,,Empty question bank (0 questions) — verify still needed before spending review time on it.
